#      lambda(um)  nuLnu(Lsun)
       9.5873285   5.2978839e+09
       9.6149051   5.2824768e+09
       9.6425610   5.2684574e+09
       9.6702964   5.2544027e+09
       9.6981116   5.2391591e+09
       9.7260068   5.2251609e+09
       9.7539823   5.2124486e+09
       9.7820382   5.2009499e+09
       9.8101748   5.1905571e+09
       9.8383924   5.1813669e+09
       9.8666911   5.1733834e+09
       9.8950712   5.1668334e+09
       9.9235329   5.1619013e+09
       9.9520765   5.1582118e+09
       9.9807022   5.1557994e+09
       10.009410   5.1551457e+09
       10.038201   5.1567819e+09
       10.067074   5.1598054e+09
       10.096031   5.1642824e+09
       10.125071   5.1700051e+09
       10.154194   5.1766442e+09
       10.183401   5.1850237e+09
       10.212692   5.1952693e+09
       10.242067   5.2064206e+09
       10.271527   5.2173085e+09
       10.301072   5.2306255e+09
       10.330701   5.2466160e+09
       10.360416   5.2638042e+09
       10.390216   5.2805723e+09
       10.420102   5.3011836e+09
       10.450074   5.3261818e+09
       10.480132   5.3549265e+09
       10.510277   5.3866609e+09
       10.540508   5.4255919e+09
       10.570826   5.4731033e+09
       10.601232   5.5303279e+09
       10.631725   5.5969951e+09
       10.662305   5.6711303e+09
       10.692974   5.7486379e+09
       10.723731   5.8315370e+09
       10.754576   5.9289863e+09
       10.785510   6.0474985e+09
       10.816533   6.1928686e+09
       10.847645   6.3711129e+09
       10.878847   6.5900756e+09
       10.910138   6.8578948e+09
       10.941520   7.1879824e+09
       10.972991   7.5995201e+09
       11.004554   8.1201750e+09
       11.036207   8.7905198e+09
       11.067951   9.6745939e+09
       11.099786   1.0878086e+10
       11.131713   1.2582187e+10
       11.163732   1.5073907e+10
       11.195843   1.8495412e+10
       11.228046   2.1450085e+10
       11.260342   2.1662683e+10
       11.292730   2.0647142e+10
       11.325212   1.9724912e+10
       11.357788   1.8683633e+10
       11.390457   1.7366340e+10
       11.423220   1.5859744e+10
       11.456077   1.4372755e+10
       11.489029   1.3015221e+10
       11.522075   1.1784393e+10
       11.555217   1.0789429e+10
       11.588454   1.0006507e+10
       11.621786   9.4250258e+09
       11.655215   9.0294730e+09
       11.688739   8.7575707e+09
       11.722360   8.5904849e+09
       11.756078   8.5126389e+09
       11.789892   8.5094770e+09
       11.823804   8.5673576e+09
       11.857814   8.6680454e+09
       11.891921   8.7878354e+09
       11.926126   8.8976905e+09
       11.960430   8.9689077e+09
       11.994833   8.9791299e+09
       12.029334   8.9204301e+09
       12.063935   8.8019940e+09
       12.098635   8.6474875e+09
       12.133435   8.4846298e+09
       12.168335   8.3390107e+09
       12.203335   8.2309082e+09
       12.238437   8.1727793e+09
       12.273639   8.1734951e+09
       12.308942   8.2388229e+09
       12.344347   8.3723108e+09
       12.379854   8.5756598e+09
       12.415462   8.8463582e+09
       12.451174   9.1748478e+09
       12.486988   9.5405098e+09
       12.522905   9.9099534e+09
       12.558925   1.0238974e+10
       12.595049   1.0485641e+10
       12.631277   1.0624551e+10
       12.667609   1.0615711e+10
       12.704045   1.0331138e+10
       12.740587   9.7865215e+09
       12.777233   9.1986252e+09
       12.813985   8.6686157e+09
       12.850843   8.2105151e+09
       12.887806   7.8213423e+09
       12.924876   7.4957520e+09
       12.962053   7.2270092e+09
       12.999336   7.0087577e+09
       13.036727   6.8352755e+09
       13.074225   6.7019958e+09
       13.111831   6.6048408e+09
       13.149546   6.5410186e+09
       13.187368   6.5084715e+09
       13.225300   6.5052975e+09
       13.263341   6.5294040e+09
       13.301491   6.5768273e+09
       13.339750   6.6403249e+09
       13.378120   6.7080822e+09
       13.416601   6.7629767e+09
       13.455191   6.7865660e+09
       13.493893   6.7652202e+09
       13.532707   6.6965339e+09
       13.571631   6.5893431e+09
       13.610668   6.4599187e+09
       13.649817   6.3248612e+09
       13.689079   6.1977736e+09
       13.728454   6.0845292e+09
       13.767942   5.9884208e+09
       13.807543   5.9105176e+09
       13.847259   5.8523129e+09
       13.887088   5.8116271e+09
       13.927032   5.7884978e+09
       13.967092   5.7836846e+09
       14.007266   5.7998784e+09
       14.047556   5.8357837e+09
       14.087961   5.8880357e+09
       14.128483   5.9443870e+09
       14.169122   5.9831975e+09
       14.209877   5.9784551e+09
       14.250750   5.9289537e+09
       14.291740   5.8566217e+09
       14.332848   5.7864134e+09
       14.374075   5.7284208e+09
       14.415420   5.6851811e+09
       14.456884   5.6551425e+09
       14.498467   5.6366551e+09
       14.540169   5.6263840e+09
       14.581992   5.6224522e+09
       14.623935   5.6235147e+09
       14.665999   5.6296364e+09
       14.708183   5.6389391e+09
       14.750489   5.6508665e+09
       14.792917   5.6650471e+09
       14.835467   5.6816857e+09
       14.878139   5.7000047e+09
       14.920934   5.7198280e+09
       14.963852   5.7409579e+09
       15.006893   5.7626763e+09
       15.050058   5.7855746e+09
       15.093347   5.8096026e+09
       15.136761   5.8347371e+09
       15.180300   5.8618695e+09
       15.223964   5.8901568e+09
       15.267753   5.9195818e+09
       15.311669   5.9501674e+09
       15.355711   5.9817190e+09
       15.399879   6.0145788e+09
       15.444175   6.0488611e+09
       15.488598   6.0847236e+09
       15.533148   6.1225849e+09
       15.577827   6.1625537e+09
       15.622634   6.2050505e+09
       15.667571   6.2506704e+09
       15.712636   6.3004528e+09
       15.757831   6.3550391e+09
       15.803156   6.4147020e+09
       15.848612   6.4774329e+09
       15.894198   6.5374898e+09
       15.939916   6.5910515e+09
       15.985764   6.6420971e+09
       16.031745   6.6984396e+09
       16.077858   6.7650353e+09
       16.124104   6.8461257e+09
       16.170482   6.9465270e+09
       16.216995   7.0747573e+09
       16.263640   7.2461119e+09
       16.310420   7.4874736e+09
       16.357335   7.8323103e+09
       16.404384   8.2577026e+09
       16.451569   8.5273744e+09
       16.498890   8.4214364e+09
       16.546347   8.1798539e+09
       16.593940   8.0238176e+09
       16.641670   7.9685189e+09
       16.689537   7.9804031e+09
       16.737542   8.0321743e+09
       16.785685   8.1063802e+09
       16.833967   8.1901743e+09
       16.882387   8.2759321e+09
       16.930947   8.3567724e+09
       16.979646   8.4272927e+09
       17.028486   8.4821554e+09
       17.077466   8.5219955e+09
       17.126587   8.5489015e+09
       17.175849   8.5688101e+09
       17.225253   8.5925724e+09
       17.274799   8.6382108e+09
       17.324487   8.7156241e+09
       17.374319   8.7547483e+09
       17.424293   8.6548667e+09
       17.474412   8.5175383e+09
       17.524674   8.4222152e+09
       17.575082   8.3660875e+09
       17.625634   8.3357823e+09
       17.676331   8.3268345e+09
       17.727175   8.3381518e+09
